# GTOC13 Solution File
# Created: 2025-11-10 12:55:29
# Units: epoch(s), position(km), velocity(km/s)
#
# Propagated Arc: Body 0 (heliocentric) from t=-0.000000 years to t=59.585149 years
#    body_id   flag                epoch (s)              x (km)              y (km)              z (km)           vx (km/s)           vy (km/s)           vz (km/s)                  cx                  cy                  cz
           0      1   0.0000000000000000e+00  -2.99195741382e+10   2.15797749250e+09  -3.80267676030e+09   4.73340169043e+00  -2.88216549911e-24  -3.44402982415e-23   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.8104424604221575e+07  -2.98338538621e+10   2.15797570488e+09  -3.80267361024e+09   4.73613958104e+00  -1.97756545725e-04   3.48476396644e-04   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   6.0233240096517280e+07  -2.96341907516e+10   2.15795757519e+09  -3.80264166304e+09   4.74257002321e+00  -6.64455348667e-04   1.17086898330e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.2515894788058372e+08  -2.93259500378e+10   2.15789061303e+09  -3.80252366578e+09   4.75264620761e+00  -1.40204588478e-03   2.47061302607e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   2.1119475003392288e+08  -2.89164667988e+10   2.15772670156e+09  -3.80223482942e+09   4.76631903570e+00  -2.41521694380e-03   4.25597086864e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   3.1611142308272970e+08  -2.84155038091e+10   2.15740600873e+09  -3.80166972105e+09   4.78350847098e+00  -3.70908810714e-03   6.53596397364e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.3719140633207804e+08  -2.78350789691e+10   2.15686229799e+09  -3.80071162199e+09   4.80408968173e+00  -5.28777374543e-03   9.31784247304e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   5.7129868694535327e+08  -2.71892326449e+10   2.15602956189e+09  -3.79924421734e+09   4.82787584581e+00  -7.15241714850e-03   1.26036210132e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   7.1495990810449660e+08  -2.64937506260e+10   2.15484980986e+09  -3.79716531909e+09   4.85459745901e+00  -9.29857399593e-03   1.63854680418e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   8.6445429278427863e+08  -2.57658463760e+10   2.15328168649e+09  -3.79440205287e+09   4.88387893956e+00  -1.17128994826e-02   2.06398680306e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.0159099968838139e+09  -2.50238042449e+10   2.15130937112e+09  -3.79092654033e+09   4.91521429472e+00  -1.43692085691e-02   2.53206790523e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.1654043815635960e+09  -2.42865841032e+10   2.14895091248e+09  -3.78677058603e+09   4.94794493882e+00  -1.72241793454e-02   3.03515614688e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.3090656027227395e+09  -2.35733870436e+10   2.14626481444e+09  -3.78203728245e+09   4.98124435821e+00  -2.02132678843e-02   3.56187792971e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.4431728833360147e+09  -2.29031819193e+10   2.14335338708e+09  -3.77690691515e+09   5.01411589484e+00  -2.32477730562e-02   4.09660279762e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.5642528665853627e+09  -2.22941944130e+10   2.14036124778e+09  -3.77163432143e+09   5.04541084072e+00  -2.62143372795e-02   4.61935546157e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.6691695396341696e+09  -2.17633649565e+10   2.13746758605e+09  -3.76653525980e+09   5.07387338092e+00  -2.89783118454e-02   5.10640881984e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.7552053417875087e+09  -2.13257897352e+10   2.13487157225e+09  -3.76196069803e+09   5.09821572493e+00  -3.13921086983e-02   5.53175566561e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.8201310495715752e+09  -2.09941705622e+10   2.13277165827e+09  -3.75826033781e+09   5.11722052549e+00  -3.33087031438e-02   5.86948806467e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.8622598650638711e+09  -2.07783227737e+10   2.13134135849e+09  -3.75573993722e+09   5.12985859202e+00  -3.45988209600e-02   6.09682597968e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.8803642899027874e+09  -2.06853998500e+10   2.13070985295e+09  -3.75462713070e+09   5.13536604091e+00  -3.51649335407e-02   6.19658342209e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
# Flyby of Body 10 (PlanetX) at t=59.585149 years, v_inf=5.731226 km/s
#    body_id   flag                epoch (s)              x (km)              y (km)              z (km)           vx (km/s)           vy (km/s)           vz (km/s)             v_inf_x             v_inf_y             v_inf_z
          10      1   1.8803642899027879e+09  -2.06853998500e+10   2.13070985295e+09  -3.75462713070e+09   5.13536604091e+00  -3.51649335407e-02   6.19658342209e-02   5.32644865006e+00   1.58412226208e+00   1.40230251221e+00
