# GTOC13 Solution File
# Created: 2025-11-07 07:48:13
# Units: epoch(s), position(km), velocity(km/s)
#
# Propagated Arc: Body 0 (heliocentric) from t=0.000000 years to t=199.999002 years
#    body_id   flag                epoch (s)              x (km)              y (km)              z (km)           vx (km/s)           vy (km/s)           vz (km/s)                  cx                  cy                  cz
           0      1   0.0000000000000000e+00  -2.99195741382e+10  -5.66424428629e+09  -1.00721093513e+10   1.29681372548e+00  -3.07686391975e-34  -3.06140073635e-35   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   6.0767942608501047e+07  -2.98405357944e+10  -5.66420001533e+09  -1.00720306291e+10   1.30450882796e+00   1.45872676956e-03   2.59389510657e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   2.0217433716553301e+08  -2.96547969151e+10  -5.66375161144e+09  -1.00712332812e+10   1.32254376763e+00   4.89262026000e-03   8.70001429710e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.2009905554474348e+08  -2.93635220236e+10  -5.66209910686e+09  -1.00682948121e+10   1.35070078465e+00   1.02961753444e-02   1.83085684034e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   7.0888031946493781e+08  -2.89679947610e+10  -5.65806642914e+09  -1.00611239401e+10   1.38872417593e+00   1.76755038948e-02   3.14304255023e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.0610356860800711e+09  -2.84706168266e+10  -5.65020595792e+09  -1.00471465193e+10   1.43626184815e+00   2.70350839724e-02   4.80735484433e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.4674435967759523e+09  -2.78754744713e+10  -5.63693522328e+09  -1.00235486157e+10   1.49285378327e+00   3.83724531863e-02   6.82335586241e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.9175779481402664e+09  -2.71889454286e+10  -5.61670031853e+09  -9.98756708614e+09   1.55791365978e+00   5.16704267877e-02   9.18798982758e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   2.3997803334764953e+09  -2.64203029466e+10  -5.58815914993e+09  -9.93681543128e+09   1.63069929722e+00   6.68855867103e-02   1.18935361775e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   2.9015618741408854e+09  -2.55822586166e+10  -5.55037581808e+09  -9.86962944303e+09   1.71026887827e+00   8.39318107773e-02   1.49246807424e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   3.4099266311734815e+09  -2.46913809685e+10  -5.50301489619e+09  -9.78541266844e+09   1.79542115745e+00   1.02657670006e-01   1.82544965539e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   3.9117081718378725e+09  -2.37683221677e+10  -5.44652070026e+09  -9.68495518631e+09   1.88462059759e+00   1.22817056307e-01   2.18392208881e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.3939105571741009e+09  -2.28377790776e+10  -5.38226146903e+09  -9.57068998675e+09   1.97591360115e+00   1.44033878929e-01   2.56119776186e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.8440449085384150e+09  -2.19281085526e+10  -5.31261179166e+09  -9.44683954329e+09   2.06685067643e+00   1.65764663721e-01   2.94761266497e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   5.2504528192342958e+09  -2.10705149952e+10  -5.24093993336e+09  -9.31939327548e+09   2.15444157832e+00   1.87267808493e-01   3.32997969329e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   5.6026081858494291e+09  -2.02977413766e+10  -5.17146341176e+09  -9.19585073608e+09   2.23518367881e+00   2.07594569288e-01   3.69142836524e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   5.8913894497696238e+09  -1.96422390027e+10  -5.10894263883e+09  -9.08467684778e+09   2.30521079343e+00   2.25621935387e-01   4.01198940302e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   6.1093141681488342e+09  -1.91338833209e+10  -5.05820673858e+09  -8.99445871637e+09   2.36059793079e+00   2.40145847479e-01   4.27025232991e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   6.2507205627058668e+09  -1.87974607405e+10  -5.02355373090e+09  -8.93283904301e+09   2.39781334154e+00   2.50037730513e-01   4.44614892365e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   6.3114885053143673e+09  -1.86512557135e+10  -5.00822699769e+09  -8.90558518087e+09   2.41413323235e+00   2.54409545837e-01   4.52388815907e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
# Flyby of Body 10 (PlanetX) at t=199.999002 years, v_inf=2.618549 km/s
#    body_id   flag                epoch (s)              x (km)              y (km)              z (km)           vx (km/s)           vy (km/s)           vz (km/s)             v_inf_x             v_inf_y             v_inf_z
          10      1   6.3114885053143673e+09  -1.86512557135e+10  -5.00822699769e+09  -8.90558518087e+09   2.41413323235e+00   2.54409545837e-01   4.52388815907e-01   1.33076401848e+00   1.78122287162e+00   1.38315292206e+00
          10      1   6.3114885053143673e+09  -1.86512557135e+10  -5.00822699769e+09  -8.90558518087e+09  -2.73501297968e-01   3.85450646699e-01   2.34975449171e-01  -1.35687051184e+00   1.91226397248e+00   1.16573955533e+00
