# GTOC13 Solution File
# Created: 2025-11-11 01:12:04
# Units: epoch(s), position(km), velocity(km/s)
#
# Propagated Arc: Body 0 (heliocentric) from t=-0.000000 years to t=104.418700 years
#    body_id   flag                epoch (s)              x (km)              y (km)              z (km)           vx (km/s)           vy (km/s)           vz (km/s)                  cx                  cy                  cz
           0      1  -3.0567011359008883e-01  -2.99195741382e+10   4.09161299807e+09   1.42647593155e+09   7.54211876641e+00  -1.47562655981e-23   1.59197539798e-23   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   3.1726705837179635e+07  -2.96802112196e+10   4.09160253676e+09   1.42647228438e+09   7.54694346832e+00  -6.62426139322e-04  -2.30944359747e-04   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.0555443365304957e+08  -2.91226147043e+10   4.09149495068e+09   1.42643477620e+09   7.55846800275e+00  -2.26644226547e-03  -7.90159123911e-04   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   2.1933208029519981e+08  -2.82615808942e+10   4.09108824923e+09   1.42629298620e+09   7.57708998608e+00  -4.92218936302e-03  -1.71604319865e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   3.7010365337582320e+08  -2.71172046140e+10   4.09005743225e+09   1.42593360822e+09   7.60352649692e+00  -8.82960765586e-03  -3.07830256969e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   5.5396259862934995e+08  -2.57160380707e+10   4.08794439687e+09   1.42519693197e+09   7.63882962474e+00  -1.42974051372e-02  -4.98456337915e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   7.6614658583206892e+08  -2.40904597501e+10   4.08414041718e+09   1.42387073483e+09   7.68446657806e+00  -2.17935960895e-02  -7.59799137854e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.0011599773919144e+09  -2.22778657978e+10   4.07786338729e+09   1.42168234798e+09   7.74242275084e+00  -3.20094183630e-02  -1.11595756733e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.2529159645824952e+09  -2.03197489403e+10   4.06812253067e+09   1.41828635292e+09   7.81535601833e+00  -4.59850724056e-02  -1.60319656400e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.5148941525084827e+09  -1.82607180594e+10   4.05367533103e+09   1.41324956607e+09   7.90677677177e+00  -6.52802322178e-02  -2.27589168645e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
