# GTOC13 Solution File
# Created: 2025-11-13 20:46:32
# Units: epoch(s), position(km), velocity(km/s)
# Approximate Objective J: 29.140581
#
# Propagated Arc: Body 0 (heliocentric) from t=-0.000000 years to t=141.303945 years
# control: N/A
#    body_id   flag                epoch (s)              x (km)              y (km)              z (km)           vx (km/s)           vy (km/s)           vz (km/s)                  cx                  cy                  cz
           0      1  -3.0308078104975733e-01  -2.99195741382e+10  -9.39353319123e+08  -3.68658971642e+08   4.02536814458e+00   0.00000000000e+00   1.61102587153e-22   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.2933964184099004e+07  -2.97466053461e+10  -9.39348796293e+08  -3.68657196611e+08   4.03207877776e+00   2.11298749582e-04   8.29263900436e-05   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.4284087005526191e+08  -2.93429810996e+10  -9.39302570600e+08  -3.68639054857e+08   4.04800054726e+00   7.17527271349e-04   2.81601034026e-04   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   2.9680975098398340e+08  -2.87177724801e+10  -9.39129466069e+08  -3.68571118185e+08   4.07341510398e+00   1.53985585438e-03   6.04332431896e-04   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   5.0084042896152025e+08  -2.78830911777e+10  -9.38697082451e+08  -3.68401424741e+08   4.10885225945e+00   2.71579259941e-03   1.06584102755e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   7.4964638412822998e+08  -2.68551081726e+10  -9.37827926518e+08  -3.68060315463e+08   4.15505629118e+00   4.30029582197e-03   1.68769578306e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.0367830232199892e+09  -2.56538470147e+10  -9.36302796114e+08  -3.67461762187e+08   4.21299997906e+00   6.36944315184e-03   2.49975415479e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.3548134094129815e+09  -2.43029138201e+10  -9.33865995685e+08  -3.66505414536e+08   4.28389879355e+00   9.02544038365e-03   3.54212786895e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   1.6955006072837026e+09  -2.28292131993e+10  -9.30233400614e+08  -3.65079764851e+08   4.36921680922e+00   1.24029008058e-02   4.86764730943e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   2.0500209336670003e+09  -2.12626816652e+10  -9.25105019628e+08  -3.63067078440e+08   4.47065037809e+00   1.66760807209e-02   6.54470117306e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   2.4091924554936738e+09  -1.96360736144e+10  -9.18184763707e+08  -3.60351152091e+08   4.59006237897e+00   2.20656330998e-02   8.65988701122e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   2.7637127818769717e+09  -1.79848386523e+10  -9.09211603356e+08  -3.56829542064e+08   4.72931795376e+00   2.88413957747e-02   1.13191054852e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   3.1043999797476931e+09  -1.63471274742e+10  -8.98008318659e+08  -3.52432696562e+08   4.88993392627e+00   3.73128796381e-02   1.46438273612e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   3.4224303659406848e+09  -1.47639451934e+10  -8.84555907922e+08  -3.47153158174e+08   5.07239904879e+00   4.77905887669e-02   1.87559131908e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   3.7095670050324435e+09  -1.32794130628e+10  -8.69101451058e+08  -3.41087895978e+08   5.27496158643e+00   6.04871484482e-02   2.37388099776e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   3.9583729601991534e+09  -1.19409572311e+10  -8.52298862113e+08  -3.34493545338e+08   5.49169357494e+00   7.53140012315e-02   2.95577624298e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.1624036381766896e+09  -1.07989589463e+10  -8.35354010501e+08  -3.27843362236e+08   5.70993911611e+00   9.15437877741e-02   3.59273108148e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.3163725191054115e+09  -9.90497722176e+09  -8.20085539608e+08  -3.21851092167e+08   5.90821987904e+00   1.07421020844e-01   4.21584959257e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.4162794249765749e+09  -9.30740960921e+09  -8.08739535754e+08  -3.17398235050e+08   6.05733152839e+00   1.20072136720e-01   4.71235578190e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.4592133894637547e+09  -9.04585331007e+09  -8.03453849568e+08  -3.15323812578e+08   6.12744840040e+00   1.26232323130e-01   4.95411869908e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
# Flyby of Body 9 (Rogue1) at t=141.303945 years, v_inf=7.702566 km/s, E_final=8.335880 km²/s²
#    body_id   flag                epoch (s)              x (km)              y (km)              z (km)           vx (km/s)           vy (km/s)           vz (km/s)             v_inf_x             v_inf_y             v_inf_z
           9      1   4.4592133894637556e+09  -9.04585331007e+09  -8.03453849568e+08  -3.15323812578e+08   6.12744840040e+00   1.26232323130e-01   4.95411869908e-02   6.61857254944e+00  -3.93052113210e+00  -2.73918679446e-01
           9      1   4.4592133894637556e+09  -9.04585331007e+09  -8.03453849568e+08  -3.15323812578e+08   6.73431838661e+00   1.38902975368e+00   2.47559792251e-01   7.22544253565e+00  -2.66772370155e+00  -7.59000741850e-02
# Propagated Arc: Body 0 (heliocentric) from t=141.303945 years to t=194.074133 years
# control: N/A
#    body_id   flag                epoch (s)              x (km)              y (km)              z (km)           vx (km/s)           vy (km/s)           vz (km/s)                  cx                  cy                  cz
           0      1   4.4592133894637556e+09  -9.04585331007e+09  -8.03453849568e+08  -3.15323812578e+08   6.73431838661e+00   1.38902975368e+00   2.47559792251e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.4752471482060518e+09  -8.93909311016e+09  -7.81154020030e+08  -3.11394683528e+08   6.73647954729e+00   1.39191473760e+00   2.47678753833e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.5125575444054470e+09  -8.68064133345e+09  -7.29166616038e+08  -3.01915160056e+08   6.89147741810e+00   1.39583023330e+00   2.52922135833e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.5700574729612999e+09  -8.29444487627e+09  -6.48511002780e+08  -2.87702049113e+08   6.82304082285e+00   1.40843568305e+00   2.50839227173e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.6462530609018393e+09  -7.74506391005e+09  -5.41033167478e+08  -2.67600874366e+08   7.28058941871e+00   1.41402561117e+00   2.66220828336e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.7391700488026581e+09  -7.09484090718e+09  -4.08389190554e+08  -2.43721918423e+08   7.07326448696e+00   1.43972257286e+00   2.59708423378e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.8464016928462830e+09  -6.26532144200e+09  -2.54128606006e+08  -2.13500776122e+08   8.03975435044e+00   1.43831248687e+00   2.91985186214e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   4.9651706569017744e+09  -5.35880546257e+09  -8.05683908153e+07  -1.80393795365e+08   7.63410854246e+00   1.48245674570e+00   2.79143842909e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   5.0924008440623159e+09  -4.23528819677e+09   1.04566189475e+08  -1.39847236061e+08   9.71158058109e+00   1.42074985242e+00   3.47572265534e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   5.2247970355243721e+09  -3.02352219227e+09   2.97081337823e+08  -9.62318831580e+07   9.07403668142e+00   1.47198027901e+00   3.27095800145e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   5.3589302234761095e+09  -1.30783679695e+09   4.26569470356e+08  -3.67968333780e+07   1.75795426122e+01  -4.05315349358e-02   5.86842881717e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   5.4913264149381638e+09   1.06905134927e+09   1.91983051319e+08   3.88372807873e+07   1.42577145448e+01  -3.46410294409e+00   4.20367273320e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   5.6185566020987062e+09   2.01454366088e+09  -3.41981453310e+08   6.17849461191e+07   2.22551124031e+00  -4.34146367589e+00   4.04385278232e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   5.7373255661541967e+09   2.17422478919e+09  -7.98552778899e+08   5.97249638660e+07   9.35219192899e-01  -3.29565944922e+00  -2.21350544496e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   5.8445572101978226e+09   2.09806084945e+09  -1.10030514702e+09   5.22912215023e+07  -2.66490858528e+00  -2.28393075496e+00  -1.26059535472e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   5.9374741980986404e+09   1.77151235111e+09  -1.25442729332e+09   3.88813591909e+07  -4.05245908858e+00  -9.49576567723e-01  -1.50814268481e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   6.0136697860391798e+09   1.38378954304e+09  -1.27079471310e+09   2.56587056862e+07  -6.50535268412e+00   6.39996684622e-01  -2.07037689746e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   6.0711697145950336e+09   9.57278901429e+08  -1.18102866033e+09   1.28591421696e+07  -8.13381708522e+00   2.67065198577e+00  -2.28563581598e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   6.1084801107944298e+09   6.27044161000e+08  -1.04284011024e+09   4.06151434440e+06  -9.86152718363e+00   4.94303645026e+00  -2.49490207721e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
           0      1   6.1245138695367250e+09   4.61498980144e+08  -9.52042300452e+08  -1.54063244457e-08  -1.06489010425e+01   6.46557088908e+00  -2.51138822540e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
# Flyby of Body 5 (Beyoncé) at t=194.074133 years, v_inf=21.037712 km/s, E_final=-16.779663 km²/s²
#    body_id   flag                epoch (s)              x (km)              y (km)              z (km)           vx (km/s)           vy (km/s)           vz (km/s)             v_inf_x             v_inf_y             v_inf_z
           5      1   6.1245138695367260e+09   4.61498980144e+08  -9.52042300452e+08  -1.54063244457e-08  -1.06489010425e+01   6.46557088908e+00  -2.51138822540e-01  -2.10184450993e+01   8.64419664328e-01  -2.51138822540e-01
           5      1   6.1245138695367260e+09   4.61498980144e+08  -9.52042300452e+08  -1.54063244457e-08  -9.79732469975e+00   1.15477096068e+01   7.21924109004e-01  -2.01668687566e+01   5.94655838208e+00   7.21924109004e-01
