# GTOC13 Solution File
# Created: 2025-11-14 16:13:42
# Units: epoch(s), position(km), velocity(km/s)
# Approximate Objective J: 8.844861
#
# Propagated Arc: Body 0 (heliocentric) from t=-0.000000 years to t=33.886090 years
# control: radial
#    body_id   flag                epoch (s)              x (km)              y (km)              z (km)           vx (km/s)           vy (km/s)           vz (km/s)                  cx                  cy                  cz
           0      1  -3.1403087775731359e-01  -2.99195741382e+10  -1.98950901259e+09   9.96314069442e+07   2.65653625282e+01  -1.81441642644e-33  -4.18297093748e-35   9.97790988935e-01   6.63483429274e-02  -3.32261814973e-03
           0      1   1.0295991071161253e+07  -2.96460495928e+10  -1.98950861839e+09   9.96313872035e+07   2.65668854461e+01   9.96543484453e-05  -4.99052926169e-06   9.97750177698e-01   6.69577432675e-02  -3.35313593723e-03
           0      1   3.4254660028411858e+07  -2.90094988582e+10  -1.98950280494e+09   9.96310960752e+07   2.65705405551e+01   3.54904285118e-04  -1.77730349715e-05   9.97650724627e-01   6.84199656360e-02  -3.42636167831e-03
           0      1   7.1177927901872590e+07  -2.80283191005e+10  -1.98948318737e+09   9.96301136591e+07   2.65764944055e+01   7.56112379811e-04  -3.78648901472e-05   9.97484045303e-01   7.08025954281e-02  -3.54567994072e-03
           0      1   1.2010651224909504e+08  -2.67277625618e+10  -1.98942961020e+09   9.96274306005e+07   2.65850552841e+01   1.40118986139e-03  -7.01693314293e-05   9.97234426481e-01   7.42272269055e-02  -3.71717996922e-03
           0      1   1.7977265306741795e+08  -2.51411953477e+10  -1.98932271029e+09   9.96220772254e+07   2.65966788976e+01   2.26144573309e-03  -1.13249559912e-04   9.96876382484e-01   7.88788599590e-02  -3.95012626037e-03
           0      1   2.4863087284222010e+08  -2.33092792760e+10  -1.98912171975e+09   9.96120119425e+07   2.66120459285e+01   3.56783875965e-03  -1.78671618537e-04   9.96369613978e-01   8.50262428364e-02  -4.25797729358e-03
           0      1   3.2489772021081400e+08  -2.12789204812e+10  -1.98878859860e+09   9.95953297720e+07   2.66321122319e+01   5.30751344923e-03  -2.65791724982e-04   9.95649944249e-01   9.30562835208e-02  -4.66010879746e-03
           0      1   4.0659789619548482e+08  -1.91020408197e+10  -1.98824983680e+09   9.95683494488e+07   2.66582804279e+01   7.95864391876e-03  -3.98556068848e-04   9.94613334718e-01   1.03525053636e-01  -5.18436794331e-03
           0      1   4.9161539387865067e+08  -1.68342238700e+10  -1.98742742439e+09   9.95271643601e+07   2.66925611599e+01   1.16866917143e-02  -5.85250697861e-04   9.93085961478e-01   1.17242487082e-01  -5.87131491626e-03
           0      1   5.7774829445525634e+08  -1.45332543862e+10  -1.98618316856e+09   9.94648540321e+07   2.67379525356e+01   1.75602872718e-02  -8.79390903063e-04   9.90767410495e-01   1.35402952594e-01  -6.78076177889e-03
           0      1   6.6276579213842237e+08  -1.22576110822e+10  -1.98434257113e+09   9.93726798773e+07   2.67989294455e+01   2.65542150790e-02  -1.32979232156e-03   9.87116819012e-01   1.59800952527e-01  -8.00257431885e-03
           0      1   7.4446596812309313e+08  -1.00649403347e+10  -1.98161290493e+09   9.92359825906e+07   2.68823157492e+01   4.16293876642e-02  -2.08473268378e-03   9.81118542361e-01   1.93165294592e-01  -9.67340683115e-03
